,,,,,,
,ZIP Code,City,County,Land Area (Sq. Meters),Land Area (Sq. Miles),Land Area (Sq. Kilometers)
,98512,"Olympia, Tumwater",Thurston County,"389,167,000",150,389
,98513,"Lacey, Nisqually Indian Community",Thurston County,"152,955,000",59,153
,98516,"Lacey, Olympia, Tanglewilde",Thurston County,"74,191,000",29,74
,98520,"Aberdeen, Aberdeen Gardens, Central Park, Cosmopolis, Junction City, Markham",Grays Harbor County,"618,431,000",239,618
,98524,"Allyn, Grapeview",Mason County,"36,969,800",14,37
,98526,Amanda Park,Grays Harbor County,"225,366,000",87,225
,98527,Bay Center,Pacific County,"25,988,400",10,26
,98528,"Allyn, Belfair","Kitsap County, Mason County","189,012,000",73,189
,98530,Bucoda,Thurston County,"12,908,900",5,13
,98531,"Centralia, Fords Prairie, Grand Mound","Lewis County, Thurston County","353,876,000",137,354
,98532,"Centralia, Chehalis, Napavine, Pe Ell",Lewis County,"835,383,000",323,835
,98535,"Copalis Beach, Ocean City",Grays Harbor County,"26,498,900",10,26
,98536,Copalis Beach,Grays Harbor County,"158,991,000",61,159
,98537,"Cosmopolis, Junction City","Grays Harbor County, Pacific County","501,254,000",194,501
,98541,"Elma, Malone, Porter, Satsop","Grays Harbor County, Mason County","547,574,000",211,548
,98546,Grapeview,Mason County,"68,581,900",26,69
,98547,Grayland,"Grays Harbor County, Pacific County","157,791,000",61,158
,98548,Hoodsport,Mason County,"355,695,000",137,356
,98550,"Aberdeen, Hogans Corner, Hoquiam, Humptulips, Oyehut",Grays Harbor County,"554,530,000",214,555
,98552,"Humptulips, Neilton",Grays Harbor County,"237,437,000",92,237
,98557,McCleary,"Grays Harbor County, Mason County","93,393,700",36,93
,98558,McKenna,Pierce County,"327,359",0,0
,98559,Malone,Grays Harbor County,"40,625",0,0
,98562,"Moclips, Pacific Beach",Grays Harbor County,"2,542,360",1,3
,98563,"Aberdeen, Montesano, Brady, Cosmopolis",Grays Harbor County,"946,982,000",366,947
,98564,Mossyrock,Lewis County,"363,144,000",140,363
,98565,Napavine,Lewis County,"1,604,000",1,2
,98568,Oakville,"Grays Harbor County, Lewis County","389,839,000",151,390
,98569,"Ocean City, Ocean Shores",Grays Harbor County,"37,939,900",15,38
,98570,Onalaska,Lewis County,"307,603,000",119,308
,98571,"Moclips, Pacific Beach",Grays Harbor County,"22,678,200",9,23
,98572,Pe Ell,Lewis County,"89,608,700",35,90
,98575,Neilton,Grays Harbor County,"262,809,000",101,263
,98576,"Rainier, Yelm",Thurston County,"182,881,000",71,183
,98577,"Lebam, Raymond, South Bend, Willapa",Pacific County,"991,185,000",383,991
,98579,"Grand Mound, Rochester","Lewis County, Thurston County","234,362,000",90,234
,98580,"Fort Lewis, McKenna, Roy, South Creek",Pierce County,"364,775,000",141,365
,98581,Ryderwood,Cowlitz County,"76,099,400",29,76
,98583,Satsop,Grays Harbor County,"283,657",0,0
,98584,"Shelton, Skokomish",Mason County,"883,191,000",341,883
,98586,South Bend,Pacific County,"350,851,000",135,351
,98587,"Qui-nai-elt Village, Santiago, Taholah",Grays Harbor County,"74,150,700",29,74
,98589,Tenino,Thurston County,"238,300,000",92,238
,98590,Tokeland,Pacific County,"7,980,780",3,8
,98591,Toledo,Lewis County,"299,346,000",116,299
,98592,Union,Mason County,"45,670,100",18,46
,98593,Vader,Lewis County,"34,719,200",13,35
,98595,"Cohassett Beach, Grayland, Westport",Grays Harbor County,"14,137,900",5,14
,98596,"Napavine, Vader, Winlock",Lewis County,"231,197,000",89,231
,98597,"North Yelm, Yelm",Thurston County,"289,029,000",112,289
,98601,Amboy,"Clark County, Cowlitz County","176,749,000",68,177
,98604,"Battle Ground, Cherry Grove, Dollars Corner, Hockinson, Lewisville, Meadow Glade, Venersborg",Clark County,"187,325,000",72,187
,98605,"Bingen, White Salmon","Klickitat County, Skamania County","111,955,000",43,112
,98606,"Brush Prairie, Hockinson, Venersborg",Clark County,"96,898,300",37,97
,98607,"Camas, Fern Prairie, Vancouver, Washougal",Clark County,"121,658,000",47,122
,98610,Carson,Skamania County,"952,000,000",368,952
,98611,Castle Rock,Cowlitz County,"322,678,000",125,323
,98612,"Cathlamet, East Cathlamet, Lower Elochoman, Puget Island, Skamokawa Valley, Upper Elochoman",Wahkiakum County,"195,711,000",76,196
,98613,Centerville,Klickitat County,"239,458,000",92,239
,98614,Chinook,Pacific County,"73,305,900",28,73
,98617,Dallesport,Klickitat County,"28,778,000",11,29
,98620,"Goldendale, Maryhill",Klickitat County,"1,260,160,000",487,"1,260"
,98621,"Grays River, Rosburg","Pacific County, Wahkiakum County","108,841,000",42,109
,98624,"Chinook, Ilwaco",Pacific County,"87,794,900",34,88
,98625,Kalama,Cowlitz County,"208,548,000",81,209
,98626,"Castle Rock, Kelso, Longview, West Side Highway",Cowlitz County,"353,416,000",136,353
,98628,Klickitat,Klickitat County,"22,972,000",9,23
,98629,La Center,Clark County,"100,148,000",39,100
,98631,Long Beach,Pacific County,"40,236,900",16,40
,98632,"Kelso, Longview, Longview Heights, West Side Highway","Cowlitz County, Wahkiakum County","334,436,000",129,334
,98635,"Dallesport, Klickitat, Lyle",Klickitat County,"332,247,000",128,332
,98638,"Deep River, Grays River, Naselle, Rosburg","Pacific County, Wahkiakum County","437,298,000",169,437
,98639,North Bonneville,Skamania County,"33,159,200",13,33
,98640,Ocean Park,Pacific County,"52,516,000",20,53
,98642,"Dollars Corner, Duluth, Mount Vista, Ridgefield",Clark County,"147,853,000",57,148
,98643,"Altoona, Deep River, Grays River, Rosburg, Skamokawa Valley",Wahkiakum County,"94,347,900",36,94
,98647,"Grays River, Skamokawa Valley",Wahkiakum County,"158,512,000",61,159
,98648,"Carson, North Bonneville, Stevenson",Skamania County,"319,038,000",123,319
,98650,Trout Lake,Klickitat County,"212,885,000",82,213
,98660,Vancouver,Clark County,"38,698,100",15,39
,98661,"Minnehaha, Vancouver, Walnut Grove",Clark County,"27,512,100",11,28
,98662,"Barberton, Brush Prairie, Five Corners, Orchards, Vancouver, Walnut Grove",Clark County,"33,339,000",13,33
,98663,"Hazel Dell, Vancouver",Clark County,"11,134,100",4,11
,98664,Vancouver,Clark County,"13,615,200",5,14
,98665,"Five Corners, Hazel Dell, Lake Shore, Salmon Creek, Vancouver, Walnut Grove",Clark County,"20,802,200",8,21
,98671,"Camas, Fern Prairie, Washougal","Clark County, Skamania County","223,527,000",86,224
,98672,White Salmon,"Klickitat County, Skamania County","376,400,000",145,376
,98673,Wishram,Klickitat County,"33,643,500",13,34
,98674,Woodland,"Clark County, Cowlitz County","214,837,000",83,215
,98675,"Amboy, Yacolt",Clark County,"305,780,000",118,306
,98682,"Brush Prairie, Camas, Hockinson, Orchards, Vancouver",Clark County,"78,100,400",30,78
,98683,Vancouver,Clark County,"18,805,400",7,19
,98684,Vancouver,Clark County,"18,064,300",7,18
,98685,"Felida, Lake Shore, Salmon Creek",Clark County,"25,188,800",10,25
,98686,"Barberton, Mount Vista, Salmon Creek, Walnut Grove",Clark County,"29,788,000",12,30
,98801,"South Wenatchee, Sunnyslope, Wenatchee",Chelan County,"420,418,000",162,420
,98802,East Wenatchee,Douglas County,"464,787,000",179,465
,98812,"Brewster, Pateros","Douglas County, Okanogan County","686,965,000",265,687
,98813,Bridgeport,"Douglas County, Okanogan County","305,926,000",118,306
,98815,Cashmere,Chelan County,"307,735,000",119,308
,98816,Chelan,"Chelan County, Douglas County","1,027,250,000",397,"1,027"
,98817,Chelan Falls,Chelan County,"2,544,380",1,3
,98819,Conconully,Okanogan County,"320,508,000",124,321
,98822,Entiat,Chelan County,"1,131,840,000",437,"1,132"
,98823,Ephrata,"Douglas County, Grant County","772,478,000",298,772
,98824,George,Grant County,"990,406",0,1
,98826,Leavenworth,Chelan County,"2,631,310,000","1,016","2,631"
,98827,Loomis,Okanogan County,"825,196,000",319,825
,98829,Malott,Okanogan County,"178,304,000",69,178
,98830,Mansfield,Douglas County,"1,167,000,000",451,"1,167"
,98831,Manson,Chelan County,"121,578,000",47,122
,98832,Krupp,"Grant County, Lincoln County","517,811,000",200,518
,98834,Methow,Okanogan County,"191,383,000",74,191
,98837,"Cascade Valley, Moses Lake, Moses Lake North",Grant County,"1,250,600,000",483,"1,251"
,98840,"Malott, Okanogan",Okanogan County,"1,081,270,000",417,"1,081"
,98841,"Disautel, North Omak, Omak, Riverside",Okanogan County,"993,866,000",384,994
